,TABLE_NAME,COLUMN_NAME,OBJECT_NAME,LABEL,SQL_TYPE,PRESCISION,IS_PK,IS_FK,AUTO++,NULLABLE,DESCRIPTION
,PARAMETRO,,Parametro,,"Parametro",,,,
,,email_usuario,EmailUsuario,"Email Usuario",VARCHAR,100,false,true,false,false
,,id_area,IdArea,"Id Area",INT,0,false,true,false,false
,,email_jefe,EmailJefe,"Email Jefe",VARCHAR,100,false,false,false,true
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,directorio_sab,DirectorioSab,"Directorio Sab",TINYINT,0,false,false,false,false
,,id_compania,IdCompania,"Id Compania",INT,0,false,true,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,id_empleado,IdEmpleado,"Id Empleado",INT,0,true,false,true,false
,,telefono,Telefono,"Telefono",VARCHAR,25,false,false,false,true
,,id_estacion,IdEstacion,"Id Estacion",INT,0,false,true,false,true
,,extension,Extension,"Extension",VARCHAR,10,false,false,false,true
,CATEGORIA_MATERIAL,,CategoriaMaterial,,"Categoria Material",,,,
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,id_categoria_material,IdCategoriaMaterial,"Id Categoria Material",INT,0,true,false,true,false
,,nombre_es,NombreEs,"Nombre Es",VARCHAR,50,false,false,false,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,nombre_en,NombreEn,"Nombre En",VARCHAR,50,false,false,false,true
,MATERIAL,,Material,,"Material",,,,
